mass,orientation,n,Dif,Dif_squared,delta_Dif_squared
1,horizontal,4,37.41,1399.51,1.06
1,horizontal,3,28.46,809.97,0.8
1,horizontal,2,19.58,383.38,0.55
1,horizontal,1,7.95,63.2,0.22
1,vertical,2,31.34,982.2,0.89
1,vertical,1,18.21,331.6,0.52
3,horizontal,6,25.34,642.12,0.72
3,horizontal,5,21.77,473.93,0.62
3,horizontal,4,18.73,350.81,0.53
3,horizontal,3,15.29,233.78,0.43
3,horizontal,2,11.11,123.43,0.31
3,horizontal,1,4.38,19.18,0.12
3,vertical,4,35.9,1288.81,1.02
3,vertical,3,31.74,1007.43,0.9
3,vertical,2,26.91,724.15,0.76
3,vertical,1,19.5,380.25,0.55
4,horizontal,6,21.16,447.75,0.6
4,horizontal,5,18.85,355.32,0.53
4,horizontal,4,16.67,277.89,0.47
4,horizontal,3,13.13,172.4,0.37
4,horizontal,2,9.54,91.01,0.27
4,horizontal,1,3.69,13.62,0.1
4,vertical,6,36.63,1341.76,1.04
4,vertical,5,34.55,1193.7,0.98
4,vertical,4,29.95,897.0,0.85
4,vertical,3,24.95,622.5,0.71
4,vertical,2,18.3,334.89,0.52
4,vertical,1,3.15,9.92,0.09
5,horizontal,6,18.65,347.82,0.53
5,horizontal,5,16.56,274.23,0.47
5,horizontal,4,14.1,198.81,0.4
5,horizontal,3,11.14,124.1,0.32
5,horizontal,2,7.32,53.58,0.21
5,horizontal,1,1.35,1.82,0.04
5,vertical,6,35.33,1248.21,1.0
5,vertical,5,31.72,1006.16,0.9
5,vertical,4,27.85,775.62,0.79
5,vertical,3,23.6,556.96,0.67
5,vertical,2,17.78,316.13,0.5
5,vertical,1,6.49,42.12,0.18
6,horizontal,6,17.94,321.84,0.51
6,horizontal,5,16.23,263.41,0.46
6,horizontal,4,13.97,195.16,0.4
6,horizontal,3,11.55,133.4,0.33
6,horizontal,2,8.68,75.34,0.25
6,horizontal,1,3.38,11.42,0.1
6,vertical,6,35.17,1236.93,0.99
6,vertical,5,30.77,946.79,0.87
6,vertical,4,27.72,768.4,0.78
6,vertical,3,23.51,552.72,0.66
6,vertical,2,19.14,366.34,0.54
6,vertical,1,11.38,129.5,0.32
