mass,orientation,n,Dif
1,horizontal,4,37.41
1,horizontal,3,28.46
1,horizontal,2,19.58
1,horizontal,1,7.95
1,vertical,2,31.34
1,vertical,1,18.21
3,horizontal,6,25.34
3,horizontal,5,21.77
3,horizontal,4,18.73
3,horizontal,3,15.29
3,horizontal,2,11.11
3,horizontal,1,4.38
3,vertical,4,35.90
3,vertical,3,31.74
3,vertical,2,26.91
3,vertical,1,19.50
4,horizontal,6,21.16
4,horizontal,5,18.85
4,horizontal,4,16.67
4,horizontal,3,13.13
4,horizontal,2,9.54
4,horizontal,1,3.69
4,vertical,6,36.63
4,vertical,5,34.55
4,vertical,4,29.95
4,vertical,3,24.95
4,vertical,2,18.3
4,vertical,1,3.15
5,horizontal,6,18.65
5,horizontal,5,16.56
5,horizontal,4,14.10
5,horizontal,3,11.14
5,horizontal,2,7.32
5,horizontal,1,1.35
5,vertical,6,35.33
5,vertical,5,31.72
5,vertical,4,27.85
5,vertical,3,23.60
5,vertical,2,17.78
5,vertical,1,6.49
6,horizontal,6,17.94
6,horizontal,5,16.23
6,horizontal,4,13.97
6,horizontal,3,11.55
6,horizontal,2,8.68
6,horizontal,1,3.38
6,vertical,6,35.17
6,vertical,5,30.77
6,vertical,4,27.72
6,vertical,3,23.51
6,vertical,2,19.14
6,vertical,1,11.38
